HE provider,Country of HE provider,Level of study,Mode of study,Category marker,Category,Number
University of Chester,England,All,All,Domicile,Total Non-UK,1145
University of Chester,England,All,All,Total,Total,13545
University of Chester,England,All,Full-time,Total,Total,9970
University of Chester,England,All,Part-time,Total,Total,3575
The University of Chichester,England,All,All,Domicile,Total Non-UK,235
The University of Chichester,England,All,All,Total,Total,5545
The University of Chichester,England,All,Full-time,Total,Total,4405
The University of Chichester,England,All,Part-time,Total,Total,1140
Chicken Shed Theatre Company,England,All,All,Domicile,Total Non-UK,0
Chicken Shed Theatre Company,England,All,All,Total,Total,95
Chicken Shed Theatre Company,England,All,Full-time,Total,Total,95
The College of Integrated Chinese Medicine,England,All,All,Domicile,Total Non-UK,0
The College of Integrated Chinese Medicine,England,All,All,Total,Total,170
The College of Integrated Chinese Medicine,England,All,Full-time,Total,Total,170
Christie's Education Limited,England,All,All,Domicile,Total Non-UK,55
Christie's Education Limited,England,All,All,Total,Total,85
Christie's Education Limited,England,All,Full-time,Total,Total,85
Christ the Redeemer College,England,All,All,Domicile,Total Non-UK,0
Christ the Redeemer College,England,All,All,Total,Total,80
Christ the Redeemer College,England,All,Full-time,Total,Total,75
Christ the Redeemer College,England,All,Part-time,Total,Total,0
The City College,England,All,All,Domicile,Total Non-UK,0
The City College,England,All,All,Total,Total,135
The City College,England,All,Full-time,Total,Total,130
The City College,England,All,Part-time,Total,Total,0
"City, University of London",England,All,All,Domicile,Total Non-UK,7215
"City, University of London",England,All,All,Total,Total,19975
"City, University of London",England,All,Full-time,Total,Total,16920
"City, University of London",England,All,Part-time,Total,Total,3055
Cliff College,England,All,All,Domicile,Total Non-UK,5
Cliff College,England,All,All,Total,Total,140
Cliff College,England,All,Full-time,Total,Total,40
Cliff College,England,All,Part-time,Total,Total,105
Conservatoire for Dance and Drama,England,All,All,Domicile,Total Non-UK,330
Conservatoire for Dance and Drama,England,All,All,Total,Total,1000
Conservatoire for Dance and Drama,England,All,Full-time,Total,Total,970
Conservatoire for Dance and Drama,England,All,Part-time,Total,Total,30
Courtauld Institute of Art,England,All,All,Domicile,Total Non-UK,245
Courtauld Institute of Art,England,All,All,Total,Total,545
Courtauld Institute of Art,England,All,Full-time,Total,Total,535
Courtauld Institute of Art,England,All,Part-time,Total,Total,10
Court Theatre Training Company Ltd,England,All,All,Domicile,Total Non-UK,5
Court Theatre Training Company Ltd,England,All,All,Total,Total,45
Court Theatre Training Company Ltd,England,All,Full-time,Total,Total,45
Coventry University,England,All,All,Domicile,Total Non-UK,13445
Coventry University,England,All,All,Total,Total,38430
Coventry University,England,All,Full-time,Total,Total,32920
Coventry University,England,All,Part-time,Total,Total,5505
Cranfield University,England,All,All,Domicile,Total Non-UK,2145
Cranfield University,England,All,All,Total,Total,4825
Cranfield University,England,All,Full-time,Total,Total,2275
Cranfield University,England,All,Part-time,Total,Total,2550
University for the Creative Arts,England,All,All,Domicile,Total Non-UK,1655
University for the Creative Arts,England,All,All,Total,Total,6765
University for the Creative Arts,England,All,Full-time,Total,Total,5110
University for the Creative Arts,England,All,Part-time,Total,Total,1655
University of Cumbria,England,All,All,Domicile,Total Non-UK,300
University of Cumbria,England,All,All,Total,Total,7945
University of Cumbria,England,All,Full-time,Total,Total,5055
University of Cumbria,England,All,Part-time,Total,Total,2890
De Montfort University,England,All,All,Domicile,Total Non-UK,6900
De Montfort University,England,All,All,Total,Total,28945
De Montfort University,England,All,Full-time,Total,Total,25425
De Montfort University,England,All,Part-time,Total,Total,3520
University of Derby,England,All,All,Domicile,Total Non-UK,1950
University of Derby,England,All,All,Total,Total,19685
University of Derby,England,All,Full-time,Total,Total,13940
University of Derby,England,All,Part-time,Total,Total,5745
The University of Dundee,Scotland,All,All,Domicile,Total Non-UK,3000
The University of Dundee,Scotland,All,All,Total,Total,16270
The University of Dundee,Scotland,All,Full-time,Total,Total,12680
The University of Dundee,Scotland,All,Part-time,Total,Total,3590
University of Durham,England,All,All,Domicile,Total Non-UK,6260
University of Durham,England,All,All,Total,Total,19520
University of Durham,England,All,Full-time,Total,Total,18505
University of Durham,England,All,Part-time,Total,Total,1015
The University of East Anglia,England,All,All,Domicile,Total Non-UK,3495
The University of East Anglia,England,All,All,Total,Total,18035
The University of East Anglia,England,All,Full-time,Total,Total,16015
The University of East Anglia,England,All,Part-time,Total,Total,2020
The University of East London,England,All,All,Domicile,Total Non-UK,3610
The University of East London,England,All,All,Total,Total,15355
The University of East London,England,All,Full-time,Total,Total,13220
The University of East London,England,All,Part-time,Total,Total,2135
The Queen's Foundation for Ecumenical Theological Education,England,All,All,Domicile,Total Non-UK,0
The Queen's Foundation for Ecumenical Theological Education,England,All,All,Total,Total,375
The Queen's Foundation for Ecumenical Theological Education,England,All,Full-time,Total,Total,40
The Queen's Foundation for Ecumenical Theological Education,England,All,Part-time,Total,Total,335
Edge Hill University,England,All,All,Domicile,Total Non-UK,385
Edge Hill University,England,All,All,Total,Total,13560
Edge Hill University,England,All,Full-time,Total,Total,10610
