University,Total HE Students,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-Overseas,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-Overseas,PG-Total-All,UG-Total-All
Northern College of Education,2918,211,1510,1612,109,891,306,1170,27,1721,1197
The University of Paisley,9634,622,528,1052,98,5780,2704,8160,324,1150,8484
"Queen Margaret University College, Edinburgh",3451,94,215,247,62,2611,531,2807,335,309,3142
The Robert Gordon University,9822,490,1089,1363,216,6633,1610,7487,756,1579,8243
The Royal Scottish Academy of Music and Drama,552,58,24,58,24,470,0,443,27,82,470
St Andrew's College of Education,1232,188,535,693,30,509,0,504,5,723,509
The University of St Andrews,6015,661,310,671,300,4837,207,4340,704,971,5044
Scottish Agricultural College,937,58,12,62,8,865,2,818,49,70,867
The University of Stirlin,7864,711,700,975,436,5607,846,5905,548,1411,6453
The University of Strathclyde,23721,2452,7788,6949,3291,11668,1813,12505,976,10240,13481
Total Northern Ireland,42725,3464,5357,7388,1433,24852,9052,29709,4195,8821,33904
The Queen's University of Belfast(3,23085,2096,2355,3731,720,12756,5878,16586,2048,4451,18634
University of Ulster,19640,1368,3002,3657,713,12096,3174,13123,2147,4370,15270
