University,Total HE students,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-All,PG-Total-Overseas,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-Overseas,UG-Total-All
St Mary's College,3150,190,290,470,480,10,2160,520,2280,400,2680
The University of Salford,19730,1060,2750,2900,3810,910,11940,3990,14420,1500,15920
The School of Oriental and African Studies,3730,1120,730,920,1850,930,1840,40,1190,690,1880
The School of Pharmacy,780,90,250,300,350,50,420,10,340,90,430
Sheffield Hallam University,23580,1280,3070,3470,4350,880,16040,3190,18290,950,19240
The University of Sheffield,23530,3390,3230,4930,6620,1690,14320,2600,15420,1500,16920
South Bank University,15030,990,2090,2680,3080,400,7460,4490,10960,990,11950
Southampton Institute,10900,230,610,700,840,140,8570,1490,9280,780,10060
The University of Southampton,20790,2350,2610,3470,4960,1490,13050,2770,14900,920,15820
Staffordshire University,16470,620,1320,1630,1950,320,11120,3410,13620,900,14520
The University of Sunderland,12510,640,820,1180,1460,280,8500,2550,9980,1070,11050
"The Surrey Institute of Art and Design, University College",2500,20,30,30,50,20,2350,100,2120,330,2450
The University of Surrey,11460,1450,2420,2560,3870,1310,5140,2440,6410,1170,7580
The University of Sussex,11360,1420,1280,1750,2700,950,6800,1860,7150,1510,8660
The University of Teesside,12940,490,1100,1490,1590,100,7270,4090,10830,520,11350
Thames Valley University,12880,290,1220,1410,1500,90,6300,5070,10210,1170,11380
Trinity And All Saints College,2500,140,220,350,350,0,2090,50,2050,90,2140
Trinity College of Music,560,120,50,120,170,50,380,0,300,80,380
University College London,17750,4080,3070,4800,7160,2360,10380,210,8660,1940,10600
The University of Warwick,18540,2480,4210,4180,6690,2510,8400,3450,10280,1570,11850
"University of the West of England, Bristol",22360,1190,1720,2640,2910,270,15930,3520,18310,1150,19460
Westminster College,1540,130,400,430,540,110,480,530,890,120,1010
The University of Westminster,21300,1850,4030,4750,5890,1140,9440,5980,13270,2150,15420
Wimbledon School of Art,520,30,80,90,110,20,410,0,350,60,410
The University of Wolverhampton,21480,750,2150,2560,2900,340,12880,5700,16570,2010,18580
University College Worcester,5310,270,340,600,610,10,3140,1560,4620,90,4710
Writtle College,1130,20,40,40,50,10,910,160,910,160,1070
Wye College,900,260,160,200,430,230,480,0,440,40,480
The University of York,8740,1370,920,1570,2300,730,5560,880,5830,620,6450
Total Wales,99090,7340,11020,14120,18360,4240,58640,22090,74320,6420,80740
"University of Wales, Aberystwyth",10200,800,1390,1710,2190,480,6020,2000,7400,610,8010
"University of Wales, Bangor",8850,860,1140,1210,2000,790,5500,1350,6400,450,6850
Cardiff University,19150,2610,1510,2700,4120,1420,12140,2890,13650,1380,15030
"University of Wales Institute, Cardiff",7580,520,680,1050,1200,150,5230,1140,5930,440,6370
University of Glamorgan,17100,650,1850,2140,2510,370,9490,5100,13380,1220,14600
"The University of Wales, Lampeter",2800,90,370,310,460,150,1160,1180,2100,240,2340
